Келус, SapDD, Физический, Разрушение, Hp 1203, Def 460, Atc 620, Spid 100, C, https://honkai-star-rail.fandom.com/ru/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B5%D1%86 
Блейд, DD, Ветреной, Разрушение, Hp 1400, Def 800, Atc 420, Spid 97, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%91%D0%BB%D1%8D%D0%B9%D0%B4
Жуань Мэй, Sap, Леденой, Гармония, Hp 1100, Def 400, Atc 520, Spid 100, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%96%D1%83%D0%B0%D0%BD%D1%8C_%D0%9C%D1%8D%D0%B9
ХоХо, Hiler, Ветреной, Изобилие, Hp 1434, Def 600, Atc 420, Spid 102, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A5%D0%BE%D1%85%D0%BE
Броня, Sap, Ветреной, Гармония, Hp 1200, Def 450, Atc 520, Spid 100, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%91%D1%80%D0%BE%D0%BD%D1%8F
Доктор Рацио, DD, Мнимый, Охота, Hp 1200, Def 450, Atc 620, Spid 100, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80_%D0%A0%D0%B0%D1%86%D0%B8%D0%BE
Дань Хен, DD, Ветреной, Охота, Hp 1150, Def 450, Atc 540, Spid 100, C, https://honkai-star-rail.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BD%D1%8C_%D0%A5%D1%8D%D0%BD
Цзин Юань, DD, Электрический, Эрудикция, Hp 1200, Def 450, Atc 720, Spid 99, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A6%D0%B7%D0%B8%D0%BD_%D0%AE%D0%B0%D0%BD%D1%8C
Пела, Debaffer, Леденой, Небытие, Hp 1100, Def 400, Atc 450, Spid 97, B, https://honkai-star-rail.fandom.com/ru/wiki/%D0%9F%D0%B5%D0%BB%D0%B0
Фу cюань, Defens, Квантовый, Сохранение, Hp 1489, Def 600, Atc 600, Spid 100, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A4%D1%83_%D0%A1%D1%8E%D0%B0%D0%BD%D1%8C
Гепардт, Defens, Леденой, Сохранение, Hp 1356, Def 890, Atc 400, Spid 97, B, https://honkai-star-rail.fandom.com/ru/wiki/%D0%93%D0%B5%D0%BF%D0%B0%D1%80%D0%B4
Сампо, SapDD, Ветреной, Небытие, Hp 1200, Def 489, Atc 579, Spid 100, B, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A1%D0%B0%D0%BC%D0%BF%D0%BE
